dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
pageblock;0,25;5;0,40769999999999995;0,04530000000000001;0,10560000000000003;0,008699999999999986;0,25;0,05719999999999997;0,31299999999999994;0,020000000000000018
pageblock;0,25;6;0,22299999999999998;0,12290000000000001;0,17859999999999998;0,1259;0,1615;0,20800000000000002;0,6001;0,10599999999999998
pageblock;0,25;7;0,34919999999999995;0,06570000000000001;0,2001;0,0582;0,2151;0,1421;0,25739999999999996;0,0572
pageblock;0,25;8;0,3117;0,01429999999999998;0,2338;0,0721;0,2379;0,10920000000000002;0,09599999999999997;0,0648
pageblock;0,25;9;0,40769999999999995;0,01880000000000001;0,12369999999999998;0,008699999999999986;0,2002;0,07890000000000003;0,014000000000000012;0,07829999999999998
pageblock;0,5;0;0,08609999999999995;0,05810000000000004;0,1563;0,020000000000000018;0,24980000000000002;0,1199;0,40800000000000003;0,01980000000000004
pageblock;0,5;1;0,08609999999999995;0,04630000000000001;0,027800000000000047;0,06240000000000001;0,27180000000000004;0,11480000000000001;0,28600000000000003;0,01090000000000002
pageblock;0,5;2;0,09919999999999995;0,07669999999999999;0,16210000000000002;0,19520000000000004;0,2294;0,13739999999999997;0,46940000000000004;0,06699999999999995
pageblock;0,5;3;0,05020000000000002;0,0529;0,011699999999999988;0,124;0,4202;0,015500000000000014;0,4839;0,12130000000000002
pageblock;0,5;4;0,11280000000000001;0,05810000000000004;0,10270000000000001;0,06469999999999998;0,3067;0,09350000000000003;0,45599999999999996;0,01959999999999995
pageblock;0,5;5;0,06169999999999998;0,019699999999999995;0,061799999999999966;0,0010999999999999899;0,2888;0,12419999999999998;0,381;0,033299999999999996
pageblock;0,5;6;0,11280000000000001;0,09670000000000001;0,05669999999999997;0,04859999999999998;0,2375;0,15769999999999995;0,46730000000000005;0,09809999999999997
pageblock;0,5;7;0,07369999999999999;0,019699999999999995;0,10270000000000001;0,0232;0,3327;0,09950000000000003;0,276;0,0015999999999999903
pageblock;0,5;8;0,08609999999999995;0,04059999999999997;0,14090000000000003;0,016500000000000015;0,273;0,1521;0,15200000000000002;0,01479999999999998
pageblock;0,5;9;0,17410000000000003;0,052100000000000035;0,04049999999999998;0,0121;0,2569;0,1099;0,06899999999999995;0,006000000000000005
pageblock;0,75;0;0,0009000000000000119;0,00770000000000004;0,020100000000000007;0,0032999999999999696;0,23819999999999997;0,041200000000000014;0,15000000000000002;0,012700000000000045
pageblock;0,75;1;0,043200000000000016;0,025699999999999945;0,0004999999999999449;0,005600000000000049;0,2625;0,03190000000000004;0,2257;0,007199999999999984
pageblock;0,75;2;0,0009000000000000119;0,0030999999999999917;0,043300000000000005;0,04300000000000004;0,24409999999999998;0,05279999999999996;0,24009999999999998;0,04859999999999998
pageblock;0,75;3;0,021199999999999997;0,00770000000000004;0,034399999999999986;0,059699999999999975;0,3003;0,005800000000000027;0,24519999999999997;0,05830000000000002
