dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
laplace;4;0;0,5;0,375;0;0,0334;0,1152;0,0388;0,0478;0,0504
laplace;4;0;0,5;0,375;1;0,0389;0,1153;0,0411;0,035;0,0477
laplace;4;0;0,5;0,375;2;0,0375;0,1;0,0467;0,0414;0,047
laplace;4;0;0,5;0,375;3;0,0264;0,115;0,0497;0,0645;0,0844
laplace;4;0;0,5;0,375;4;0,025;0,1223;0,0505;0,046;0,0715
laplace;4;0;0,5;0,375;5;0,0509;0,1;0,0559;0,0488;0,0551
laplace;4;0;0,5;0,375;6;0,0538;0,1186;0,0589;0,0732;0,0821
laplace;4;0;0,5;0,375;7;0,0493;0,1044;0,04;0,0554;0,1071
laplace;4;0;0,5;0,375;8;0,0428;0,1177;0,0468;0,0638;0,0559
laplace;4;0;0,5;0,375;9;0,044;0,1218;0,0486;0,0617;0,059
laplace;4;0;0,75;0,5625;0;0,0293;0,1284;0,0442;0,0391;0,0409
laplace;4;0;0,75;0,5625;1;0,0306;0,1313;0,0391;0,038;0,0575
laplace;4;0;0,75;0,5625;2;0,0263;0,1255;0,0432;0,0443;0,0428
laplace;4;0;0,75;0,5625;3;0,0262;0,1353;0,0385;0,0487;0,0501
laplace;4;0;0,75;0,5625;4;0,0253;0,1151;0,0364;0,0394;0,0504
laplace;4;0;0,75;0,5625;5;0,0326;0,1396;0,0489;0,0429;0,0598
laplace;4;0;0,75;0,5625;6;0,0416;0,1363;0,0542;0,0603;0,078
laplace;4;0;0,75;0,5625;7;0,0292;0,1352;0,0454;0,047;0,0438
laplace;4;0;0,75;0,5625;8;0,0262;0,1381;0,0471;0,0438;0,0636
laplace;4;0;0,75;0,5625;9;0,0284;0,1249;0,0421;0,0539;0,0445
laplace;4;0;0,95;0,7125;0;0,0262;0,1184;0,0357;0,0358;0,037
laplace;4;0;0,95;0,7125;1;0,029;0,1227;0,0355;0,0392;0,043
laplace;4;0;0,95;0,7125;2;0,0288;0,1143;0,0318;0,0318;0,0479
laplace;4;0;0,95;0,7125;3;0,0269;0,1125;0,0285;0,0426;0,0376
laplace;4;0;0,95;0,7125;4;0,0314;0,1219;0,0294;0,0391;0,0604
laplace;4;0;0,95;0,7125;5;0,0289;0,1209;0,0367;0,0414;0,057
laplace;4;0;0,95;0,7125;6;0,0316;0,1242;0,0428;0,0419;0,058
laplace;4;0;0,95;0,7125;7;0,0249;0,1113;0,0356;0,0402;0,0542
laplace;4;0;0,95;0,7125;8;0,0247;0,1269;0,0448;0,0403;0,0428
laplace;4;0;0,95;0,7125;9;0,0245;0,1224;0,0357;0,0355;0,0526
normal;1;1;0,05;0,05;0;0,0287;0,0482;0,0343;0,0624;0,0645
normal;1;1;0,05;0,05;1;0,0384;0,0509;0,0383;0,0501;0,0646
normal;1;1;0,05;0,05;2;0,0586;0,0485;0,0558;0,0497;0,0517
normal;1;1;0,05;0,05;3;0,0325;0,0491;0,0356;0,034;0,0562
normal;1;1;0,05;0,05;4;0,0247;0,0498;0,0364;0,0478;0,0486
normal;1;1;0,05;0,05;5;0,0327;0,0493;0,0572;0,0493;0,051
normal;1;1;0,05;0,05;6;0,0243;0,0495;0,0338;0,0372;0,0461
normal;1;1;0,05;0,05;7;0,0157;0,049;0,0274;0,0429;0,0481
normal;1;1;0,05;0,05;8;0,0383;0,0518;0,0345;0,0509;0,0594
normal;1;1;0,05;0,05;9;0,0259;0,0502;0,0338;0,0522;0,0523
normal;1;1;0,25;0,25;0;0,0323;0,1706;0,0291;0,062;0,1346
normal;1;1;0,25;0,25;1;0,038;0,1633;0,0346;0,0713;0,123
normal;1;1;0,25;0,25;2;0,0589;0,2408;0,051;0,1309;0,1665
normal;1;1;0,25;0,25;3;0,0397;0,1414;0,034;0,0832;0,125
normal;1;1;0,25;0,25;4;0,0348;0,1507;0,0149;0,0639;0,1175
normal;1;1;0,25;0,25;5;0,0365;0,2263;0,0419;0,0471;0,1083
normal;1;1;0,25;0,25;6;0,0303;0,1789;0,023;0,0521;0,1439
normal;1;1;0,25;0,25;7;0,0191;0,1651;0,021;0,0586;0,1442
normal;1;1;0,25;0,25;8;0,0432;0,1622;0,0448;0,0955;0,1239
normal;1;1;0,25;0,25;9;0,0379;0,1429;0,0279;0,0742;0,1282
normal;1;1;0,5;0,5;0;0,0264;0,2319;0,0175;0,0505;0,0742
normal;1;1;0,5;0,5;1;0,0245;0,2362;0,0218;0,0293;0,0905
normal;1;1;0,5;0,5;2;0,0428;0,2239;0,0367;0,0446;0,0425
normal;1;1;0,5;0,5;3;0,0235;0,2549;0,0263;0,049;0,0445
normal;1;1;0,5;0,5;4;0,0336;0,2499;0,0159;0,0331;0,0593
normal;1;1;0,5;0,5;5;0,0313;0,2265;0,0321;0,0565;0,0533
normal;1;1;0,5;0,5;6;0,0206;0,2411;0,0173;0,038;0,1064
normal;1;1;0,5;0,5;7;0,0154;0,2554;0,016;0,035;0,1181
normal;1;1;0,5;0,5;8;0,029;0,2164;0,0298;0,0667;0,092
normal;1;1;0,5;0,5;9;0,0295;0,2627;0,0257;0,0483;0,0537
normal;1;1;0,75;0,75;0;0,0147;0,2023;0,0112;0,0296;0,024
normal;1;1;0,75;0,75;1;0,0174;0,1938;0,0121;0,0186;0,0253
normal;1;1;0,75;0,75;2;0,0184;0,1941;0,0171;0,0232;0,0227
normal;1;1;0,75;0,75;3;0,0145;0,1849;0,0129;0,0206;0,0394
normal;1;1;0,75;0,75;4;0,0177;0,1942;0,0152;0,0226;0,0434
normal;1;1;0,75;0,75;5;0,013;0,2065;0,0205;0,0362;0,0435
normal;1;1;0,75;0,75;6;0,0111;0,1892;0,0135;0,0211;0,0681
normal;1;1;0,75;0,75;7;0,0085;0,1946;0,0068;0,0211;0,0519
normal;1;1;0,75;0,75;8;0,0178;0,1786;0,0155;0,0293;0,0443
normal;1;1;0,75;0,75;9;0,0121;0,1739;0,0146;0,0231;0,0225
normal;1;1;0,95;0,95;0;0,0046;0,0494;0,0053;0,0071;0,0086
normal;1;1;0,95;0,95;1;0,0033;0,0488;0,0052;0,0047;0,0075
normal;1;1;0,95;0,95;2;0,0043;0,0509;0,0046;0,0054;0,0066
normal;1;1;0,95;0,95;3;0,0032;0,0508;0,0044;0,005;0,0088
normal;1;1;0,95;0,95;4;0,0047;0,0472;0,0061;0,0068;0,0067
normal;1;1;0,95;0,95;5;0,0028;0,0498;0,0056;0,0066;0,0067
normal;1;1;0,95;0,95;6;0,0029;0,0477;0,0079;0,0072;0,0071
normal;1;1;0,95;0,95;7;0,0027;0,0505;0,0044;0,0048;0,0048
normal;1;1;0,95;0,95;8;0,0038;0,0483;0,0066;0,0057;0,0068
normal;1;1;0,95;0,95;9;0,0029;0,0503;0,0053;0,0053;0,0063
normal;1;2;0,05;0,05;0;0,0362;0,0444;0,0435;0,0511;0,049
normal;1;2;0,05;0,05;1;0,0427;0,0511;0,0424;0,038;0,0489
normal;1;2;0,05;0,05;2;0,0471;0,0483;0,074;0,0444;0,043
normal;1;2;0,05;0,05;3;0,0433;0,0499;0,0391;0,0221;0,0296
normal;1;2;0,05;0,05;4;0,0375;0,05;0,0409;0,0229;0,0296
normal;1;2;0,05;0,05;5;0,0343;0,0497;0,0584;0,0299;0,0354
normal;1;2;0,05;0,05;6;0,0369;0,0484;0,0449;0,028;0,0313
normal;1;2;0,05;0,05;7;0,0287;0,0499;0,0334;0,0255;0,0354
normal;1;2;0,05;0,05;8;0,043;0,05;0,0404;0,0351;0,0358
normal;1;2;0,05;0,05;9;0,0336;0,0514;0,026;0,0211;0,0346
normal;1;2;0,25;0,25;0;0,0453;0,0937;0,0315;0,0482;0,0782
normal;1;2;0,25;0,25;1;0,0543;0,0905;0,0254;0,0377;0,0428
normal;1;2;0,25;0,25;2;0,0497;0,0863;0,0501;0,0714;0,0706
normal;1;2;0,25;0,25;3;0,0602;0,079;0,0229;0,0537;0,0514
normal;1;2;0,25;0,25;4;0,0434;0,0757;0,0206;0,0422;0,0401
normal;1;2;0,25;0,25;5;0,0359;0,0976;0,0298;0,0523;0,0496
normal;1;2;0,25;0,25;6;0,0529;0,0898;0,0256;0,0539;0,0574
normal;1;2;0,25;0,25;7;0,0393;0,0896;0,0201;0,0483;0,0479
normal;1;2;0,25;0,25;8;0,052;0,0874;0,0311;0,0582;0,0582
