dataset;alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
housing;0,25;3;0,3396;0,21699999999999997;0,1745;0,3208;0,3208
housing;0,25;4;0,20279999999999998;0,18400000000000005;0,20279999999999998;0,20279999999999998;0,20279999999999998
housing;0,25;5;0,21699999999999997;0,16979999999999995;0,1604;0,17920000000000003;0,27359999999999995
housing;0,25;6;0,22640000000000005;0,21230000000000004;0,18869999999999998;0,2358;0,23109999999999997
housing;0,25;7;0,15569999999999995;0,15569999999999995;0,16510000000000002;0,16510000000000002;0,18869999999999998
housing;0,25;8;0,21699999999999997;0,1745;0,18869999999999998;0,17920000000000003;0,17920000000000003
housing;0,25;9;0,20279999999999998;0,1604;0,16979999999999995;0,21699999999999997;0,21699999999999997
housing;0,5;0;0,24839999999999995;0,20750000000000002;0,2076;0,2358;0,24839999999999995
housing;0,5;1;0,19179999999999997;0,1824;0,19179999999999997;0,19810000000000005;0,1855
housing;0,5;2;0,20440000000000003;0,20130000000000003;0,20130000000000003;0,21699999999999997;0,2076
housing;0,5;3;0,25470000000000004;0,25160000000000005;0,2579;0,24529999999999996;0,24839999999999995
housing;0,5;4;0,1855;0,15090000000000003;0,16349999999999998;0,20440000000000003;0,20130000000000003
housing;0,5;5;0,2138;0,21699999999999997;0,20130000000000003;0,2107;0,20440000000000003
housing;0,5;6;0,20130000000000003;0,21699999999999997;0,22009999999999996;0,22009999999999996;0,1855
housing;0,5;7;0,17610000000000003;0,14780000000000004;0,14459999999999995;0,14459999999999995;0,14780000000000004
housing;0,5;8;0,19810000000000005;0,17300000000000004;0,19810000000000005;0,20440000000000003;0,2076
